Artist,Title,Album,Themes,Tags
Alkaline Trio,Radio,Maybe I'll Catch Fire,sad,
Alkaline Trio,San Francisco,Goddamnit,sad,
ALL,Dot,Percolator,sad,
ALL,Nothin',Percolator,sad,
ALL,Postage,Allroy For Prez,sad,
Allo Darlin',My Heart Is A Drummer,Allo Darlin',sad,
Alvvays,Adult Diversion,Alvvays,,
Alvvays,"Archie, Marry Me",Alvvays,,
Alvvays,Belinda Says,Blue Rev,sad,
Alvvays,Dreams Tonite,Antisocialites,sad,
Alvvays,In Undertow,Antisocialites,sad,
American Football,Never Meant,American Football,sad,
American Nightmare,AM/PM,Background Music,sad,
Amyl & The Sniffers,Big Dreams,Cartoon Darkness,,
Amyl & The Sniffers,Hertz,Comfort To Me,,
Angry Samoans,Get Off The Air,Inside My Brain,,
Annabelle Chairlegs,Candy Apple Red,Gotta Be In Love,,
Anniversary,The D In Detroit,Designing A Nervous Breakdown,,
Antemasque,In The Lurch,Antemasque,,
Anti-Flag,You've Got To Die For The Government,Die For The Government,,
Arcade Fire,Modern Man,The Suburbs,sad,
Arcade Fire,Neighborhood #1 (Tunnels),Funeral,sad,
Arcade Fire,Neighborhood #2 (Laika),Funeral,sad; scary,
Arcade Fire,Neighborhood #3 (Power Out),Funeral,sad,
Archers Of Loaf,All The Nations Airports,All The Nations Airports,,
Archers Of Loaf,Harnessed In Slums,Vee Vee,,
Archers Of Loaf,Strangled By The Stereo Wire,All The Nation's Airports,,
Archers Of Loaf,Vocal Shrapnel,All The Nation's Airports,,
Archers Of Loaf,Web In Front,Icky Mettle,,
Archers Of Loaf,Wrong,Icky Mettle,sad,
Ariel Pink's Haunted Graffiti,Gettin' High In The Morning,House Arrest,,
Art Brut,Emily Kane,Bang Bang Rock & Roll,,
At The Drive-in,Chanbara,in/CASINO/OUT,,
At The Drive-in,Napoleon Solo,in/CASINO/OUT,sad,
At The Drive-In,One Armed Scissor,Relationship Of Command,,
At The Drive-In,Transatlantic Foe,in/CASINO/OUT,,
Au Pairs,Come Again,Playing With A Different Sex,,
Audacity,Punk Confusion,Mellow Cruisers,,
Audacity,Subway Girl,Mellow Cruisers,,
Avail,Simple Song,4AM Friday,,
Avengers,The American In Me,Avengers,,
Avengers,We Are The One,Avengers,,
B-52's,52 Girls,The B-52's,,
B-52's,Dance This Mess Around,The B-52's,,
B-52's,Lava,The B-52's,,
B-52's,Rock Lobster,The B-52's,,
Babes In Toyland,Bruise Violet,Bruise Violet single,,
Babes In Toyland,Swamp Pussy,Spanking Machine,,
Bachelor,Stay In The Car,Doomin' Sun,sad,
Bad Books,Pyotr,II,sad; scary,
Bad Brains,Banned In D.C.,Bad Brains,,
Bad Brains,The Regulator (Version),New York Thrash,,
Bad Religion,21st Century Digital Boy,All Ages,sad,
Bad Religion,Against The Grain,Against The Grain,,
Bad Religion,American Jesus,Recipe For Hate,,
Bad Religion,I Want To Conquer The World,All Ages,,
Bad Religion,Joy To The World (Traditional),Holiday sampler,,
Bad Religion,You Are (The Government),Suffer,,
"Baker, Julien",Sour Breath,Turn Out The Lights,sad,
Band Of Horses,Laredo,Infinite Arms,,
Band Of Horses,The Funeral,Everything All The Time,sad,
"Barnett, Courtney",Avant Gardener,The Double EP: A Sea Of Split Peas,sad,
"Barnett, Courtney",Before You Gotta Go,"Things Take Time, Take Time",sad,
"Barnett, Courtney",Depreston,"Sometimes I Sit And Think, And Sometimes I Just Sit",sad,
"Barnett, Courtney",History Eraser,The Double EP: A Sea Of Split Peas,,
Basement,Covet,Colourmeinkindness,sad,
Bauhaus,Ziggy Stardust (by David Bowie),Crackle,sad; scary,
Be Your Own Pet,Becky,Get Damaged,scary,
Beach Bunny,Prom Queen,Prom Queen,,
Beach House,Myth,Bloom,,
